Index,ID,Name
1,TU_001,MG_001 - MG_002
2,TU_002,MG_003 - MG_004
3,TU_003,MG_005 - MG_009
4,TU_004,MG_010
5,TU_005,MG_011 - MG_012
6,TU_006,MG_013
7,MG471,
8,MG472,
9,TU_008,MG_014 - MG_015
10,TU_009,MG_018
11,TU_010,MG_019 - MG_021
12,TU_011,MG_022 - MG_024
13,TU_012,MG_025
14,TU_013,MG_026 - MG_028
15,TU_014,MG_029 - MG_031
16,TU_015,MG_032
17,TU_016,MG_033
18,TU_017,MG_034
19,TU_018,MG_035
20,TU_019,MG_036
21,TU_020,MG_037
22,TU_021,MG_038
23,TU_022,MG_039
24,TU_023,MG_040
25,TU_024,MG_041
26,TU_025,MG_042 - MG_044
27,TU_026,MG_045
28,TU_027,MG_046 - MG_047
29,TU_028,MG_048
30,TU_029,MG_049 - MG_051
31,TU_030,MG_052 - MG_053
32,TU_031,"MG_054, MG_055, MG_473"
33,TU_032,"MG_056, MG_057, MG_474"
34,TU_033,MG_058
35,TU_034,MG_059
36,TU_035,MG_060
37,TU_036,MG_061
38,MG475,
39,TU_038,MG_062
40,TU_039,MG_063
41,TU_040,MG_064 - MG_065
42,TU_041,MG_066
43,TU_042,MG_067 - MG_068
44,TU_043,MG_069
45,TU_044,MG_070
46,TU_045,MG_071
47,TU_046,MG_072
48,TU_047,MG_073
49,TU_048,MG_074
50,TU_049,MG_075
51,TU_050,MG_076
52,TU_051,MG_077 - MG_080
53,TU_052,MG_081 - MG_082
54,TU_053,MG_083
55,TU_054,MG_084 - MG_085
56,TU_055,MG_086 - MG_089
57,TU_056,MG_090
58,TU_057,MG_091
59,TU_058,MG_092
60,TU_059,MG_093 - MG_095
61,TU_060,MG_096
62,TU_061,MG_097
63,TU_062,MG_098 - MG_100
64,TU_063,MG_101 - MG_103
65,TU_064,MG_476
66,TU_065,MG_104
67,TU_066,MG_105
68,TU_067,MG_106
69,TU_068,MG_107 - MG_110
70,TU_069,MG_111 - MG_112
71,TU_070,MG_113
72,TU_071,MG_114
73,TU_072,MG_115
74,TU_073,MG_116 - MG_118
75,TU_074,MG_119 - MG_122
76,TU_075,MG_123
77,TU_076,MG_124 - MG_125
78,TU_077,MG_126
