Index,ID,Name
1,Aas1,
2,Aas2,
3,Aas3,
4,Aas4,
5,Aas5,
6,Aas6,
7,Aas7,
8,AceE,
9,AckA,
10,AcpS,
11,Adi,
12,Adk1,
13,Adk2,
14,Adk3,
15,Adk4,
16,AHCYSs,
17,Apt,
18,Apts_Ala,
19,Apts_Arg,
20,Apts_Asn,
21,Apts_Asp,
22,Apts_Cys,
23,Apts_Gln,
24,Apts_Glu,
25,Apts_Gly,
26,Apts_His,
27,Apts_Ile,
28,Apts_Leu,
29,Apts_Lys,
30,Apts_Met,
31,Apts_Phe,
32,Apts_Pro,
33,Apts_Ser,
34,Apts_Thr,
35,Apts_Trp,
36,Apts_Tyr,
37,Apts_Val,
38,ArcC,
39,ArgF,
40,AspC1,
41,AspC2,
42,AspC3,
43,AtpA,
44,AzoR,
45,BPNT,
46,Cdd1,
47,Cdd2,
48,CdsA1,
49,CdsA2,
50,CdsA3,
51,CdsA4,
52,CdsA5,
53,CdsA6,
54,CdsA7,
55,CholK,
56,Cls1,
57,Cls2,
58,Cls3,
59,CmkA1,
60,CmkA2,
61,CmkB3,
62,CoaE,
63,CpdB1,
64,CpdB2,
65,CpdB3,
66,CpdB4,
67,CpsG,
68,CsdA,
69,Dak1,
70,DcdK,
71,Dck,
72,DeoC,
73,DeoD1,
74,DeoD2,
75,DeoD3,
76,DeoD4,
77,DeoD5,
78,DeoD6,
79,DeoD7,
80,DeoD8,
81,Dgk1,
82,DhaK,
83,DhfR1,
84,diadenylate_cyclase,
85,Eno,
86,Fba,
87,FMETHs,
88,FolD1,
89,FolD2,
90,Fre1,
91,Fre2,
92,Fre3,
93,Fre4,
94,Fre5,
95,Fre6,
96,FruK1,
97,FruK2,
98,FthC,
99,FTHFS,
100,GalE,
101,GalU1,
102,GapA,
103,Glf,
104,GLNHs,
105,GlpK,
106,GlpQ1,
107,GlpQ2,
108,GlpQ3,
109,GlpQ4,
110,GlpQ5,
111,GlyA1,
112,GlyA2,
113,GlyA3,
114,GlyA4,
115,glycosyltransferase_Ceramide16_GalCer16,
116,glycosyltransferase_Ceramide16_GlcCer16,
117,glycosyltransferase_DAG160_GalDAG160,
118,glycosyltransferase_DAG160_GlcDAG160,
119,glycosyltransferase_DAG161_GalDAG161,
120,glycosyltransferase_DAG161_GlcDAG161,
